210,170
206,171
366,285
245,240
253,108
243,139
358,241
366,264
303,245
215,221
296,269
362,262
237,174
224,145
232,213
233,136
401,265
240,256
225,270
224,178
246,285
273,152
292,301
206,243
217,188
268,255
264,303
289,279
395,247
230,162
289,115
301,251
264,267
408,223
222,262
358,268
294,137
365,247
201,197
368,217
320,233
355,249
296,269
371,249
318,287
251,158
260,263
227,278
337,258
257,210
261,101
229,197
254,274
300,264
381,274
342,260
380,274
219,206
289,117
330,286
261,146
333,310
358,258
310,116
286,132
295,285
258,130
371,241
298,268
388,251
375,253
221,246
328,233
248,241
293,132
232,276
316,275
271,132
305,260
296,117
256,141
203,182
336,232
373,237
389,278
350,267
364,277
299,131
211,246
204,173
352,198
211,128
296,121
267,297
310,289
307,276
328,296
277,301
261,266
381,206
345,280
257,180
266,151
395,211
228,163
322,275
363,264
274,255
257,110
221,244
247,167
300,138
208,203
271,145
193,130
258,227
270,258
308,296
310,302
372,214
367,239
360,292
283,284
352,209
259,129
224,232
259,146
244,216
244,234
192,213
355,201
377,188
215,225
255,151
237,150
350,247
229,159
316,309
227,237
306,252
413,196
235,219
359,239
251,137
268,248
334,300
252,127
274,262
237,104
261,285
369,252
218,252
220,276
287,129
243,239
283,248
294,125
360,255
226,208
283,134
254,237
324,263
381,261
380,266
364,276
235,231
394,217
357,293
358,197
378,293
338,222
232,108
349,243
206,208
362,271
227,180
305,276
371,258
209,124
262,136
259,273
339,271
244,133
346,213
372,272
235,120
302,278
221,185
245,154
218,250
373,198
248,272
248,131
258,171
358,210
213,234
210,232
221,193
293,265
306,243
